date,hour,actual,predicted,naive
2017-01-05,18,39745.0,39403.664,35824.0
2017-01-05,19,39754.0,39790.32,36411.0
2017-01-05,20,39185.0,39058.992,36328.0
2017-01-05,21,38297.0,38198.68,35852.0
2017-01-05,22,36615.0,36804.375,34526.0
2017-01-05,23,34283.0,34659.97,32492.0
2017-01-06,0,32142.0,32303.885,30557.0
2017-01-06,1,30653.0,30715.71,29307.0
2017-01-06,2,29842.0,29838.09,28748.0
2017-01-06,3,29492.0,29555.39,28529.0
2017-01-06,4,29542.0,29558.438,28847.0
2017-01-06,5,30361.0,30341.113,29936.0
2017-01-06,6,32404.0,32223.787,32276.0
2017-01-06,7,35719.0,34719.688,35874.0
2017-01-06,8,37539.0,36411.527,37704.0
2017-01-06,9,37609.0,36911.125,37576.0
2017-01-06,10,37269.0,36820.54,37476.0
2017-01-06,11,36654.0,36897.633,37288.0
2017-01-06,12,35995.0,36649.836,36670.0
2017-01-06,13,35543.0,36147.586,35773.0
2017-01-06,14,35486.0,35981.023,35631.0
2017-01-06,15,35636.0,35551.297,35736.0
2017-01-06,16,36219.0,35864.91,36064.0
2017-01-06,17,37589.0,37705.727,37376.0
2017-01-06,18,39804.0,39841.43,39745.0
2017-01-06,19,39608.0,40142.242,39754.0
2017-01-06,20,38944.0,39346.85,39185.0
2017-01-06,21,38251.0,38501.11,38297.0
2017-01-06,22,37096.0,37261.105,36615.0
2017-01-06,23,35354.0,35408.47,34283.0
2017-01-07,0,33594.0,33609.234,32142.0
2017-01-07,1,32209.0,32307.367,30653.0
2017-01-07,2,31309.0,31479.902,29842.0
2017-01-07,3,30930.0,31288.754,29492.0
2017-01-07,4,30842.0,31290.945,29542.0
2017-01-07,5,31188.0,31771.652,30361.0
2017-01-07,6,32129.0,33158.07,32404.0
2017-01-07,7,33496.0,34770.684,35719.0
2017-01-07,8,34967.0,36254.6,37539.0
2017-01-07,9,36457.0,37157.695,37609.0
2017-01-07,10,38000.0,37351.816,37269.0
2017-01-07,11,38902.0,37321.555,36654.0
2017-01-07,12,39196.0,37084.438,35995.0
2017-01-07,13,39168.0,36787.344,35543.0
2017-01-07,14,38928.0,36607.668,35486.0
2017-01-07,15,38693.0,36477.047,35636.0
2017-01-07,16,38508.0,36878.594,36219.0
2017-01-07,17,39285.0,38442.11,37589.0
2017-01-07,18,41324.0,40368.33,39804.0
2017-01-07,19,41442.0,40827.33,39608.0
2017-01-07,20,40913.0,40283.12,38944.0
2017-01-07,21,40314.0,39287.9,38251.0
2017-01-07,22,39267.0,38183.51,37096.0
2017-01-07,23,37654.0,36468.406,35354.0
2017-01-08,0,36054.0,35709.72,33594.0
2017-01-08,1,34856.0,34181.242,32209.0
2017-01-08,2,34165.0,33084.727,31309.0
2017-01-08,3,33870.0,32646.992,30930.0
2017-01-08,4,33886.0,32346.123,30842.0
2017-01-08,5,34312.0,32310.188,31188.0
2017-01-08,6,35140.0,33379.676,32129.0
2017-01-08,7,36356.0,34788.332,33496.0
2017-01-08,8,37324.0,36022.367,34967.0
2017-01-08,9,38061.0,36851.516,36457.0
2017-01-08,10,38395.0,37430.84,38000.0
2017-01-08,11,38357.0,37728.53,38902.0
2017-01-08,12,38166.0,37690.156,39196.0
2017-01-08,13,37743.0,37437.04,39168.0
2017-01-08,14,37355.0,37300.035,38928.0
2017-01-08,15,37161.0,37284.547,38693.0
2017-01-08,16,37872.0,37563.418,38508.0
2017-01-08,17,39607.0,39214.723,39285.0
2017-01-08,18,42607.0,41511.387,41324.0
2017-01-08,19,43100.0,42191.938,41442.0
2017-01-08,20,42720.0,41976.145,40913.0
2017-01-08,21,42143.0,41318.246,40314.0
2017-01-08,22,40744.0,40470.04,39267.0
2017-01-08,23,38884.0,38530.383,37654.0
2017-01-09,0,36965.0,36853.38,36054.0
2017-01-09,1,35832.0,35610.93,34856.0
2017-01-09,2,35462.0,34974.08,34165.0
2017-01-09,3,35455.0,34731.38,33870.0
2017-01-09,4,35915.0,34728.086,33886.0
2017-01-09,5,36961.0,35441.33,34312.0
2017-01-09,6,39185.0,37503.21,35140.0
2017-01-09,7,42462.0,40353.375,36356.0
2017-01-09,8,44013.0,42327.5,37324.0
2017-01-09,9,43676.0,42710.0,38061.0
2017-01-09,10,43222.0,42735.977,38395.0
2017-01-09,11,42548.0,42642.137,38357.0
2017-01-09,12,41541.0,42158.625,38166.0
2017-01-09,13,40609.0,41683.84,37743.0
2017-01-09,14,40296.0,41256.387,37355.0
2017-01-09,15,39880.0,40775.2,37161.0
2017-01-09,16,39981.0,40871.547,37872.0
2017-01-09,17,41221.0,42336.07,39607.0
2017-01-09,18,44099.0,44537.426,42607.0
2017-01-09,19,44416.0,44908.266,43100.0
2017-01-09,20,44122.0,44139.727,42720.0
2017-01-09,21,43384.0,43120.9,42143.0
2017-01-09,22,41870.0,41493.64,40744.0
2017-01-09,23,39509.0,38874.977,38884.0
2017-01-10,0,37332.0,37194.125,36965.0
2017-01-10,1,35970.0,35344.504,35832.0
2017-01-10,2,35327.0,34367.164,35462.0
2017-01-10,3,35108.0,33814.258,35455.0
2017-01-10,4,35237.0,33711.46,35915.0
2017-01-10,5,36118.0,34530.855,36961.0
2017-01-10,6,38130.0,36937.285,39185.0
2017-01-10,7,41482.0,40090.742,42462.0
2017-01-10,8,42856.0,41873.645,44013.0
2017-01-10,9,42288.0,41715.43,43676.0
2017-01-10,10,41505.0,41181.703,43222.0
2017-01-10,11,40759.0,40340.055,42548.0
2017-01-10,12,39999.0,38990.47,41541.0
2017-01-10,13,39199.0,37836.586,40609.0
2017-01-10,14,38729.0,37041.85,40296.0
2017-01-10,15,38450.0,36232.242,39880.0
2017-01-10,16,38484.0,36233.75,39981.0
2017-01-10,17,39435.0,37667.906,41221.0
2017-01-10,18,41298.0,39727.438,44099.0
2017-01-10,19,40986.0,40088.6,44416.0
2017-01-10,20,40170.0,39240.5,44122.0
2017-01-10,21,38945.0,38288.438,43384.0
2017-01-10,22,36876.0,36490.527,41870.0
2017-01-10,23,34273.0,33901.723,39509.0
2017-01-11,0,31693.0,31689.38,37332.0
2017-01-11,1,29906.0,29487.2,35970.0
2017-01-11,2,28989.0,28185.0,35327.0
2017-01-11,3,28512.0,27403.072,35108.0
2017-01-11,4,28411.0,27191.402,35237.0
2017-01-11,5,28970.0,27637.742,36118.0
2017-01-11,6,30800.0,29360.59,38130.0
2017-01-11,7,34114.0,32227.03,41482.0
2017-01-11,8,35788.0,34092.703,42856.0
2017-01-11,9,35148.0,33943.68,42288.0
2017-01-11,10,34117.0,33417.086,41505.0
2017-01-11,11,33358.0,32724.877,40759.0
2017-01-11,12,32698.0,31583.059,39999.0
2017-01-11,13,32035.0,30677.424,39199.0
2017-01-11,14,31865.0,30350.016,38729.0
2017-01-11,15,31707.0,29885.004,38450.0
2017-01-11,16,32072.0,30112.129,38484.0
2017-01-11,17,33514.0,31484.805,39435.0
2017-01-11,18,35669.0,33388.0,41298.0
2017-01-11,19,35647.0,33904.96,40986.0
2017-01-11,20,35064.0,33433.086,40170.0
2017-01-11,21,34135.0,32848.258,38945.0
2017-01-11,22,32485.0,31269.232,36876.0
2017-01-11,23,30180.0,29064.092,34273.0
2017-01-12,0,27904.0,28196.396,31693.0
2017-01-12,1,26292.0,26309.629,29906.0
2017-01-12,2,25348.0,25395.824,28989.0
2017-01-12,3,24802.0,24863.127,28512.0
2017-01-12,4,24702.0,24819.182,28411.0
2017-01-12,5,25245.0,25268.975,28970.0
2017-01-12,6,27093.0,26956.754,30800.0
2017-01-12,7,30367.0,29787.504,34114.0
2017-01-12,8,32114.0,31768.125,35788.0
2017-01-12,9,31778.0,31978.61,35148.0
2017-01-12,10,31467.0,31674.027,34117.0
2017-01-12,11,31120.0,31370.47,33358.0
2017-01-12,12,30844.0,30823.352,32698.0
2017-01-12,13,30286.0,30097.195,32035.0
2017-01-12,14,30141.0,29784.332,31865.0
2017-01-12,15,29977.0,29600.79,31707.0
2017-01-12,16,30031.0,29727.287,32072.0
2017-01-12,17,30945.0,31128.191,33514.0
2017-01-12,18,32895.0,32967.367,35669.0
2017-01-12,19,32933.0,33128.844,35647.0
2017-01-12,20,32362.0,32570.598,35064.0
2017-01-12,21,31433.0,31769.504,34135.0
2017-01-12,22,29818.0,30344.633,32485.0
2017-01-12,23,27717.0,28303.494,30180.0
2017-01-13,0,25541.0,25820.52,27904.0
2017-01-13,1,23951.0,24334.848,26292.0
2017-01-13,2,23117.0,23752.129,25348.0
2017-01-13,3,22694.0,23582.176,24802.0
2017-01-13,4,22711.0,23691.465,24702.0
2017-01-13,5,23314.0,24476.293,25245.0
2017-01-13,6,25324.0,26544.223,27093.0
2017-01-13,7,28699.0,29421.463,30367.0
2017-01-13,8,30748.0,31342.822,32114.0
2017-01-13,9,30857.0,31582.32,31778.0
2017-01-13,10,30673.0,31562.273,31467.0
2017-01-13,11,30569.0,31200.04,31120.0
2017-01-13,12,30149.0,30935.938,30844.0
2017-01-13,13,29708.0,30508.293,30286.0
2017-01-13,14,29628.0,30241.355,30141.0
2017-01-13,15,29569.0,30275.613,29977.0
2017-01-13,16,30027.0,30738.654,30031.0
2017-01-13,17,31488.0,32368.102,30945.0
2017-01-13,18,33898.0,34520.05,32895.0
2017-01-13,19,34082.0,35065.766,32933.0
2017-01-13,20,33628.0,34555.523,32362.0
2017-01-13,21,33064.0,33773.297,31433.0
2017-01-13,22,32076.0,32627.67,29818.0
2017-01-13,23,30515.0,31027.387,27717.0
2017-01-14,0,28852.0,28828.377,25541.0
2017-01-14,1,27485.0,27689.88,23951.0
2017-01-14,2,26700.0,27070.26,23117.0
2017-01-14,3,26371.0,26835.832,22694.0
2017-01-14,4,26330.0,26831.865,22711.0
2017-01-14,5,26694.0,27340.441,23314.0
2017-01-14,6,27631.0,28577.52,25324.0
2017-01-14,7,28972.0,30366.84,28699.0
2017-01-14,8,30349.0,31765.762,30748.0
2017-01-14,9,31589.0,32360.781,30857.0
2017-01-14,10,32604.0,32794.867,30673.0
2017-01-14,11,33105.0,32737.148,30569.0
2017-01-14,12,33441.0,32327.21,30149.0
2017-01-14,13,33479.0,31854.81,29708.0
2017-01-14,14,33397.0,31288.125,29628.0
2017-01-14,15,33438.0,30888.975,29569.0
2017-01-14,16,33647.0,31117.18,30027.0
2017-01-14,17,34598.0,32577.42,31488.0
2017-01-14,18,36152.0,34675.484,33898.0
2017-01-14,19,35949.0,35141.035,34082.0
2017-01-14,20,35188.0,34719.258,33628.0
2017-01-14,21,34389.0,34001.39,33064.0
2017-01-14,22,33176.0,32930.508,32076.0
2017-01-14,23,31578.0,31435.883,30515.0
2017-01-15,0,29923.0,29908.025,28852.0
2017-01-15,1,28488.0,28670.121,27485.0
2017-01-15,2,27604.0,27829.668,26700.0
2017-01-15,3,27123.0,27504.436,26371.0
2017-01-15,4,27023.0,27412.697,26330.0
2017-01-15,5,27288.0,27689.707,26694.0
2017-01-15,6,28007.0,28559.2,27631.0
2017-01-15,7,29160.0,30078.602,28972.0
2017-01-15,8,30224.0,31305.758,30349.0
2017-01-15,9,30954.0,31612.238,31589.0
2017-01-15,10,30936.0,31723.902,32604.0
2017-01-15,11,30424.0,31559.012,33105.0
2017-01-15,12,29817.0,31171.783,33441.0
2017-01-15,13,29242.0,30855.266,33479.0
2017-01-15,14,28756.0,30436.256,33397.0
2017-01-15,15,28735.0,30173.32,33438.0
2017-01-15,16,29354.0,30681.016,33647.0
2017-01-15,17,30921.0,32241.186,34598.0
2017-01-15,18,33628.0,34352.02,36152.0
2017-01-15,19,34350.0,34799.664,35949.0
2017-01-15,20,33983.0,34510.773,35188.0
2017-01-15,21,33770.0,34038.195,34389.0
2017-01-15,22,32858.0,32992.957,33176.0
2017-01-15,23,31479.0,31474.477,31578.0
2017-01-16,0,30060.0,29648.055,29923.0
2017-01-16,1,28898.0,28381.383,28488.0
2017-01-16,2,28404.0,27560.791,27604.0
2017-01-16,3,28295.0,27258.375,27123.0
2017-01-16,4,28596.0,27421.865,27023.0
2017-01-16,5,29479.0,28078.84,27288.0
2017-01-16,6,31270.0,29722.2,28007.0
2017-01-16,7,33747.0,32041.973,29160.0
2017-01-16,8,35359.0,33778.812,30224.0
2017-01-16,9,35681.0,33893.742,30954.0
2017-01-16,10,35379.0,33596.797,30936.0
2017-01-16,11,34811.0,33126.727,30424.0
2017-01-16,12,34171.0,32460.436,29817.0
2017-01-16,13,33572.0,32057.566,29242.0
2017-01-16,14,33160.0,31467.11,28756.0
2017-01-16,15,33093.0,31107.621,28735.0
2017-01-16,16,33388.0,31529.98,29354.0
2017-01-16,17,34562.0,33135.12,30921.0
2017-01-16,18,36778.0,35126.64,33628.0
2017-01-16,19,36808.0,35643.605,34350.0
2017-01-16,20,36163.0,35252.824,33983.0
2017-01-16,21,35127.0,34667.938,33770.0
2017-01-16,22,33343.0,33413.297,32858.0
2017-01-16,23,30975.0,31327.338,31479.0
2017-01-17,0,28860.0,28931.648,30060.0
2017-01-17,1,27455.0,27620.129,28898.0
2017-01-17,2,26582.0,26913.547,28404.0
2017-01-17,3,26230.0,26833.562,28295.0
2017-01-17,4,26347.0,27217.322,28596.0
2017-01-17,5,27114.0,28233.197,29479.0
2017-01-17,6,29210.0,30435.402,31270.0
2017-01-17,7,32661.0,33359.3,33747.0
2017-01-17,8,34523.0,35313.156,35359.0
2017-01-17,9,34576.0,35438.016,35681.0
2017-01-17,10,34547.0,35147.82,35379.0
2017-01-17,11,34787.0,34605.203,34811.0
2017-01-17,12,34556.0,33973.082,34171.0
2017-01-17,13,34231.0,33660.89,33572.0
2017-01-17,14,34046.0,33335.805,33160.0
2017-01-17,15,33774.0,32952.98,33093.0
2017-01-17,16,33887.0,32984.707,33388.0
2017-01-17,17,34885.0,34335.51,34562.0
2017-01-17,18,36388.0,36118.664,36778.0
2017-01-17,19,36156.0,36407.062,36808.0
2017-01-17,20,35400.0,35874.92,36163.0
2017-01-17,21,34311.0,35178.848,35127.0
2017-01-17,22,32502.0,33631.39,33343.0
2017-01-17,23,30187.0,31238.637,30975.0
2017-01-18,0,28065.0,28314.844,28860.0
2017-01-18,1,26462.0,27081.236,27455.0
2017-01-18,2,25641.0,26373.277,26582.0
2017-01-18,3,25252.0,26186.477,26230.0
2017-01-18,4,25271.0,26593.293,26347.0
2017-01-18,5,25922.0,27643.828,27114.0
2017-01-18,6,28051.0,29905.943,29210.0
2017-01-18,7,31468.0,33004.133,32661.0
2017-01-18,8,33398.0,34986.605,34523.0
2017-01-18,9,33277.0,35406.754,34576.0
2017-01-18,10,33090.0,35179.83,34547.0
2017-01-18,11,32855.0,34853.09,34787.0
2017-01-18,12,32656.0,34523.055,34556.0
2017-01-18,13,32263.0,34253.78,34231.0
2017-01-18,14,32092.0,34002.754,34046.0
2017-01-18,15,31880.0,33814.36,33774.0
2017-01-18,16,31995.0,33840.176,33887.0
2017-01-18,17,33071.0,35103.01,34885.0
2017-01-18,18,34978.0,36712.984,36388.0
2017-01-18,19,35081.0,36724.434,36156.0
2017-01-18,20,34501.0,35961.07,35400.0
2017-01-18,21,33659.0,35189.39,34311.0
2017-01-18,22,32064.0,33490.258,32502.0
2017-01-18,23,29808.0,30985.229,30187.0
2017-01-19,0,27673.0,27704.574,28065.0
2017-01-19,1,26259.0,26297.582,26462.0
2017-01-19,2,25452.0,25480.074,25641.0
2017-01-19,3,25051.0,25163.695,25252.0
2017-01-19,4,25102.0,25239.383,25271.0
2017-01-19,5,25837.0,25988.344,25922.0
2017-01-19,6,28027.0,27872.303,28051.0
2017-01-19,7,31476.0,30619.102,31468.0
2017-01-19,8,33244.0,32386.455,33398.0
2017-01-19,9,32937.0,32687.574,33277.0
2017-01-19,10,32317.0,32409.053,33090.0
2017-01-19,11,31933.0,32049.832,32855.0
2017-01-19,12,31436.0,31610.139,32656.0
2017-01-19,13,31106.0,31219.838,32263.0
2017-01-19,14,31142.0,30944.102,32092.0
2017-01-19,15,31097.0,30714.613,31880.0
2017-01-19,16,31096.0,30921.738,31995.0
2017-01-19,17,32072.0,32237.402,33071.0
2017-01-19,18,34314.0,33985.945,34978.0
2017-01-19,19,34934.0,34206.992,35081.0
2017-01-19,20,34617.0,33647.242,34501.0
2017-01-19,21,34053.0,33081.453,33659.0
2017-01-19,22,32731.0,31721.312,32064.0
2017-01-19,23,30785.0,29880.523,29808.0
2017-01-20,0,28927.0,28788.36,27673.0
2017-01-20,1,27680.0,27367.86,26259.0
2017-01-20,2,27048.0,26431.613,25452.0
2017-01-20,3,26793.0,26013.145,25051.0
2017-01-20,4,26888.0,26000.781,25102.0
2017-01-20,5,27706.0,26641.604,25837.0
2017-01-20,6,29702.0,28392.309,28027.0
2017-01-20,7,32960.0,31041.04,31476.0
2017-01-20,8,34664.0,32906.8,33244.0
2017-01-20,9,34604.0,33332.31,32937.0
2017-01-20,10,34497.0,33151.848,32317.0
2017-01-20,11,34483.0,32701.992,31933.0
2017-01-20,12,34041.0,32070.586,31436.0
2017-01-20,13,33686.0,31489.766,31106.0
2017-01-20,14,33753.0,30946.535,31142.0
2017-01-20,15,33465.0,30344.27,31097.0
2017-01-20,16,33298.0,30106.285,31096.0
2017-01-20,17,33731.0,31112.102,32072.0
2017-01-20,18,35040.0,32701.354,34314.0
2017-01-20,19,34708.0,32753.652,34934.0
2017-01-20,20,33775.0,32115.156,34617.0
2017-01-20,21,32810.0,31261.215,34053.0
2017-01-20,22,31462.0,29995.656,32731.0
2017-01-20,23,29608.0,28438.904,30785.0
2017-01-21,0,27697.0,27667.3,28927.0
2017-01-21,1,26070.0,26037.152,27680.0
2017-01-21,2,25053.0,24896.55,27048.0
2017-01-21,3,24490.0,24285.04,26793.0
2017-01-21,4,24224.0,23973.613,26888.0
2017-01-21,5,24398.0,24148.121,27706.0
2017-01-21,6,25148.0,25126.916,29702.0
2017-01-21,7,26340.0,26605.559,32960.0
2017-01-21,8,27569.0,27858.41,34664.0
2017-01-21,9,28851.0,28554.633,34604.0
2017-01-21,10,29764.0,29073.023,34497.0
2017-01-21,11,30182.0,29058.275,34483.0
2017-01-21,12,30109.0,28694.22,34041.0
2017-01-21,13,29669.0,28346.688,33686.0
2017-01-21,14,29122.0,27939.535,33753.0
2017-01-21,15,28779.0,27660.77,33465.0
2017-01-21,16,28802.0,27712.164,33298.0
2017-01-21,17,29595.0,28758.1,33731.0
2017-01-21,18,31188.0,30411.637,35040.0
2017-01-21,19,31206.0,30606.203,34708.0
2017-01-21,20,30670.0,30224.223,33775.0
2017-01-21,21,29903.0,29507.129,32810.0
2017-01-21,22,28918.0,28375.91,31462.0
2017-01-21,23,27496.0,27015.938,29608.0
2017-01-22,0,25944.0,25966.492,27697.0
2017-01-22,1,24552.0,24688.227,26070.0
2017-01-22,2,23672.0,23811.273,25053.0
2017-01-22,3,23162.0,23410.402,24490.0
2017-01-22,4,22972.0,23281.883,24224.0
2017-01-22,5,23051.0,23516.812,24398.0
2017-01-22,6,23592.0,24661.172,25148.0
2017-01-22,7,24478.0,26278.025,26340.0
2017-01-22,8,25528.0,27500.523,27569.0
2017-01-22,9,26687.0,28061.11,28851.0
2017-01-22,10,27743.0,28277.596,29764.0
2017-01-22,11,28334.0,28280.027,30182.0
2017-01-22,12,28582.0,28035.488,30109.0
2017-01-22,13,28665.0,27824.924,29669.0
2017-01-22,14,28663.0,27565.73,29122.0
2017-01-22,15,28699.0,27570.29,28779.0
2017-01-22,16,28997.0,27831.926,28802.0
2017-01-22,17,29834.0,29206.059,29595.0
2017-01-22,18,31521.0,31178.965,31188.0
2017-01-22,19,31763.0,31865.48,31206.0
2017-01-22,20,31179.0,31876.89,30670.0
2017-01-22,21,30474.0,31408.473,29903.0
2017-01-22,22,29140.0,30380.66,28918.0
2017-01-22,23,27374.0,28801.576,27496.0
2017-01-23,0,25568.0,25867.947,25944.0
2017-01-23,1,24402.0,24830.672,24552.0
2017-01-23,2,23802.0,24260.117,23672.0
2017-01-23,3,23593.0,24291.227,23162.0
2017-01-23,4,23813.0,24620.928,22972.0
2017-01-23,5,24735.0,25520.363,23051.0
2017-01-23,6,27100.0,27677.037,23592.0
2017-01-23,7,30772.0,30739.895,24478.0
2017-01-23,8,33033.0,32917.746,25528.0
2017-01-23,9,33562.0,33758.652,26687.0
2017-01-23,10,34052.0,33942.82,27743.0
2017-01-23,11,34576.0,33972.49,28334.0
2017-01-23,12,34926.0,33844.086,28582.0
2017-01-23,13,35143.0,33706.14,28665.0
2017-01-23,14,35330.0,33644.11,28663.0
2017-01-23,15,35322.0,33535.906,28699.0
2017-01-23,16,35497.0,33718.297,28997.0
2017-01-23,17,36362.0,34913.195,29834.0
2017-01-23,18,37916.0,36595.547,31521.0
2017-01-23,19,37876.0,37104.44,31763.0
2017-01-23,20,37157.0,36691.984,31179.0
2017-01-23,21,36015.0,35717.75,30474.0
2017-01-23,22,34171.0,33977.363,29140.0
2017-01-23,23,31758.0,31726.086,27374.0
2017-01-24,0,29602.0,29611.639,25568.0
2017-01-24,1,28069.0,27942.424,24402.0
2017-01-24,2,27236.0,26864.629,23802.0
2017-01-24,3,26846.0,26577.246,23593.0
2017-01-24,4,26925.0,26720.246,23813.0
2017-01-24,5,27729.0,27302.719,24735.0
2017-01-24,6,29784.0,29354.613,27100.0
2017-01-24,7,33251.0,32463.38,30772.0
2017-01-24,8,35069.0,34608.797,33033.0
2017-01-24,9,34963.0,35053.285,33562.0
2017-01-24,10,34661.0,34908.625,34052.0
2017-01-24,11,34381.0,34734.477,34576.0
2017-01-24,12,34056.0,34384.688,34926.0
2017-01-24,13,33847.0,34193.76,35143.0
2017-01-24,14,33651.0,34020.31,35330.0
2017-01-24,15,33652.0,33765.438,35322.0
2017-01-24,16,33881.0,33692.133,35497.0
2017-01-24,17,34713.0,34612.797,36362.0
2017-01-24,18,36562.0,36134.383,37916.0
2017-01-24,19,36843.0,36441.57,37876.0
2017-01-24,20,36289.0,35851.027,37157.0
2017-01-24,21,35332.0,34836.85,36015.0
2017-01-24,22,33636.0,33012.36,34171.0
2017-01-24,23,31263.0,30689.156,31758.0
2017-01-25,0,29132.0,29129.812,29602.0
2017-01-25,1,27613.0,27460.695,28069.0
2017-01-25,2,26692.0,26299.973,27236.0
2017-01-25,3,26335.0,25857.812,26846.0
2017-01-25,4,26342.0,25936.734,26925.0
2017-01-25,5,27033.0,26512.527,27729.0
