experiment,context_len,date,hour,actual,predicted,naive
exp1_512h,512,2018-01-02,23,41581.0,37639.266,40164.0
exp1_512h,512,2018-01-03,0,39451.0,39877.047,38608.0
exp1_512h,512,2018-01-03,1,38011.0,38616.85,37679.0
exp1_512h,512,2018-01-03,2,37534.0,37667.863,37160.0
exp1_512h,512,2018-01-03,3,37485.0,37186.664,37063.0
exp1_512h,512,2018-01-03,4,37864.0,37222.43,37401.0
exp1_512h,512,2018-01-03,5,38960.0,37773.832,38255.0
exp1_512h,512,2018-01-03,6,41303.0,39551.44,40408.0
exp1_512h,512,2018-01-03,7,44802.0,41357.68,43508.0
exp1_512h,512,2018-01-03,8,46432.0,42826.11,45012.0
exp1_512h,512,2018-01-03,9,45542.0,43466.207,44491.0
exp1_512h,512,2018-01-03,10,43472.0,43038.895,43736.0
exp1_512h,512,2018-01-03,11,41762.0,42504.2,42747.0
exp1_512h,512,2018-01-03,12,40644.0,41939.344,41745.0
exp1_512h,512,2018-01-03,13,39561.0,41167.562,40849.0
exp1_512h,512,2018-01-03,14,38709.0,40419.14,40240.0
exp1_512h,512,2018-01-03,15,38092.0,40129.266,39817.0
exp1_512h,512,2018-01-03,16,38594.0,40656.008,40291.0
exp1_512h,512,2018-01-03,17,40576.0,42596.812,42219.0
exp1_512h,512,2018-01-03,18,43373.0,44687.734,45537.0
exp1_512h,512,2018-01-03,19,43683.0,45350.277,46050.0
exp1_512h,512,2018-01-03,20,43308.0,45354.01,45787.0
exp1_512h,512,2018-01-03,21,42440.0,44865.824,45209.0
exp1_512h,512,2018-01-03,22,40661.0,43256.633,43663.0
exp1_512h,512,2018-01-03,23,38207.0,41217.0,41581.0
exp1_512h,512,2018-01-04,0,36088.0,36292.266,39451.0
exp1_512h,512,2018-01-04,1,34494.0,34769.57,38011.0
exp1_512h,512,2018-01-04,2,33875.0,33696.625,37534.0
exp1_512h,512,2018-01-04,3,33689.0,33365.312,37485.0
exp1_512h,512,2018-01-04,4,34014.0,33399.258,37864.0
exp1_512h,512,2018-01-04,5,34950.0,34314.08,38960.0
exp1_512h,512,2018-01-04,6,36900.0,36412.2,41303.0
exp1_512h,512,2018-01-04,7,39460.0,38718.395,44802.0
exp1_512h,512,2018-01-04,8,41243.0,40219.055,46432.0
exp1_512h,512,2018-01-04,9,42221.0,40439.453,45542.0
exp1_512h,512,2018-01-04,10,43053.0,39799.523,43472.0
exp1_512h,512,2018-01-04,11,43789.0,39036.055,41762.0
exp1_512h,512,2018-01-04,12,44047.0,38294.043,40644.0
exp1_512h,512,2018-01-04,13,43714.0,37555.96,39561.0
exp1_512h,512,2018-01-04,14,43595.0,36828.094,38709.0
exp1_512h,512,2018-01-04,15,43123.0,36665.92,38092.0
exp1_512h,512,2018-01-04,16,42912.0,37148.23,38594.0
exp1_512h,512,2018-01-04,17,43831.0,38949.01,40576.0
exp1_512h,512,2018-01-04,18,46456.0,41145.055,43373.0
exp1_512h,512,2018-01-04,19,46484.0,41887.75,43683.0
exp1_512h,512,2018-01-04,20,45896.0,41747.4,43308.0
exp1_512h,512,2018-01-04,21,45377.0,41167.93,42440.0
exp1_512h,512,2018-01-04,22,44092.0,39803.957,40661.0
exp1_512h,512,2018-01-04,23,42257.0,37868.26,38207.0
exp1_512h,512,2018-01-05,0,40624.0,40312.324,36088.0
exp1_512h,512,2018-01-05,1,39667.0,38475.13,34494.0
exp1_512h,512,2018-01-05,2,39270.0,36971.055,33875.0
exp1_512h,512,2018-01-05,3,39249.0,36310.92,33689.0
exp1_512h,512,2018-01-05,4,39548.0,36006.977,34014.0
exp1_512h,512,2018-01-05,5,40385.0,36517.523,34950.0
exp1_512h,512,2018-01-05,6,42160.0,38104.617,36900.0
exp1_512h,512,2018-01-05,7,44660.0,40170.297,39460.0
exp1_512h,512,2018-01-05,8,46307.0,41898.11,41243.0
exp1_512h,512,2018-01-05,9,46537.0,42478.15,42221.0
exp1_512h,512,2018-01-05,10,46010.0,42335.863,43053.0
exp1_512h,512,2018-01-05,11,45360.0,41927.445,43789.0
exp1_512h,512,2018-01-05,12,44687.0,41316.81,44047.0
exp1_512h,512,2018-01-05,13,44097.0,40610.46,43714.0
exp1_512h,512,2018-01-05,14,43615.0,39744.227,43595.0
exp1_512h,512,2018-01-05,15,43368.0,39424.227,43123.0
exp1_512h,512,2018-01-05,16,43930.0,39706.11,42912.0
exp1_512h,512,2018-01-05,17,45917.0,41151.17,43831.0
exp1_512h,512,2018-01-05,18,48945.0,43241.785,46456.0
exp1_512h,512,2018-01-05,19,49021.0,43769.312,46484.0
exp1_512h,512,2018-01-05,20,48445.0,43563.04,45896.0
exp1_512h,512,2018-01-05,21,47788.0,42786.984,45377.0
exp1_512h,512,2018-01-05,22,46496.0,41480.9,44092.0
exp1_512h,512,2018-01-05,23,45697.857142857145,39662.98,42257.0
exp1_512h,512,2018-01-06,0,44899.71428571428,44194.258,40624.0
exp1_512h,512,2018-01-06,1,44101.57142857143,42685.047,39667.0
exp1_512h,512,2018-01-06,2,43303.42857142857,41486.85,39270.0
exp1_512h,512,2018-01-06,3,42505.28571428572,40678.21,39249.0
exp1_512h,512,2018-01-06,4,41707.142857142855,40252.676,39548.0
exp1_512h,512,2018-01-06,5,40909.0,40344.6,40385.0
exp1_512h,512,2018-01-06,6,41765.0,41348.395,42160.0
exp1_512h,512,2018-01-06,7,43089.0,42748.15,44660.0
exp1_512h,512,2018-01-06,8,44231.0,43876.938,46307.0
exp1_512h,512,2018-01-06,9,44657.0,44369.332,46537.0
exp1_512h,512,2018-01-06,10,44457.0,44420.086,46010.0
exp1_512h,512,2018-01-06,11,43912.0,44200.918,45360.0
exp1_512h,512,2018-01-06,12,43298.0,43565.938,44687.0
exp1_512h,512,2018-01-06,13,42589.0,42863.043,44097.0
exp1_512h,512,2018-01-06,14,42103.0,42093.836,43615.0
exp1_512h,512,2018-01-06,15,41940.0,41392.49,43368.0
exp1_512h,512,2018-01-06,16,42542.0,41546.074,43930.0
exp1_512h,512,2018-01-06,17,44516.0,42811.61,45917.0
exp1_512h,512,2018-01-06,18,47372.0,44711.492,48945.0
exp1_512h,512,2018-01-06,19,47714.0,45341.145,49021.0
exp1_512h,512,2018-01-06,20,47287.0,45177.984,48445.0
exp1_512h,512,2018-01-06,21,46860.0,44693.17,47788.0
exp1_512h,512,2018-01-06,22,45795.0,43232.76,46496.0
exp1_512h,512,2018-01-06,23,45115.0,41566.426,45697.857142857145
exp1_512h,512,2018-01-07,0,44435.0,43861.07,44899.71428571428
exp1_512h,512,2018-01-07,1,43755.0,42770.668,44101.57142857143
exp1_512h,512,2018-01-07,2,43075.0,41785.03,43303.42857142857
exp1_512h,512,2018-01-07,3,42395.0,41116.434,42505.28571428572
exp1_512h,512,2018-01-07,4,41715.0,40774.33,41707.142857142855
exp1_512h,512,2018-01-07,5,41035.0,40976.266,40909.0
exp1_512h,512,2018-01-07,6,41834.0,42205.195,41765.0
exp1_512h,512,2018-01-07,7,42860.0,43658.44,43089.0
exp1_512h,512,2018-01-07,8,43844.0,45075.246,44231.0
exp1_512h,512,2018-01-07,9,44011.0,45608.184,44657.0
exp1_512h,512,2018-01-07,10,43108.0,45485.04,44457.0
exp1_512h,512,2018-01-07,11,42073.0,45293.83,43912.0
exp1_512h,512,2018-01-07,12,41093.0,44685.45,43298.0
exp1_512h,512,2018-01-07,13,40208.0,44099.887,42589.0
exp1_512h,512,2018-01-07,14,39512.0,43492.56,42103.0
exp1_512h,512,2018-01-07,15,39432.0,43254.844,41940.0
exp1_512h,512,2018-01-07,16,40224.0,43676.723,42542.0
exp1_512h,512,2018-01-07,17,42185.0,45294.47,44516.0
exp1_512h,512,2018-01-07,18,45080.0,47400.625,47372.0
exp1_512h,512,2018-01-07,19,45461.0,47796.625,47714.0
exp1_512h,512,2018-01-07,20,45034.0,47573.902,47287.0
exp1_512h,512,2018-01-07,21,44434.0,46798.367,46860.0
exp1_512h,512,2018-01-07,22,42933.0,45214.445,45795.0
exp1_512h,512,2018-01-07,23,40797.0,43565.83,45115.0
exp1_512h,512,2018-01-08,0,38911.0,39166.78,44435.0
exp1_512h,512,2018-01-08,1,37750.0,37835.184,43755.0
exp1_512h,512,2018-01-08,2,36931.0,36790.594,43075.0
exp1_512h,512,2018-01-08,3,36735.0,36412.977,42395.0
exp1_512h,512,2018-01-08,4,36815.0,36184.8,41715.0
exp1_512h,512,2018-01-08,5,37520.0,36470.234,41035.0
exp1_512h,512,2018-01-08,6,39490.0,37793.203,41834.0
exp1_512h,512,2018-01-08,7,42657.0,39539.75,42860.0
exp1_512h,512,2018-01-08,8,44098.0,41015.547,43844.0
exp1_512h,512,2018-01-08,9,43482.0,41408.664,44011.0
exp1_512h,512,2018-01-08,10,42715.0,40909.59,43108.0
exp1_512h,512,2018-01-08,11,41781.0,40443.36,42073.0
exp1_512h,512,2018-01-08,12,41002.0,39936.44,41093.0
exp1_512h,512,2018-01-08,13,40429.0,39318.273,40208.0
exp1_512h,512,2018-01-08,14,40210.0,38661.465,39512.0
exp1_512h,512,2018-01-08,15,40200.0,38728.66,39432.0
exp1_512h,512,2018-01-08,16,40385.0,39158.117,40224.0
exp1_512h,512,2018-01-08,17,41525.0,41052.36,42185.0
exp1_512h,512,2018-01-08,18,43487.0,43292.13,45080.0
exp1_512h,512,2018-01-08,19,43078.0,43935.42,45461.0
exp1_512h,512,2018-01-08,20,42112.0,43706.688,45034.0
exp1_512h,512,2018-01-08,21,40797.0,42997.945,44434.0
exp1_512h,512,2018-01-08,22,38819.0,41551.41,42933.0
exp1_512h,512,2018-01-08,23,36287.0,39538.812,40797.0
exp1_512h,512,2018-01-09,0,34077.0,34152.72,38911.0
exp1_512h,512,2018-01-09,1,32542.0,32554.836,37750.0
exp1_512h,512,2018-01-09,2,31723.0,31635.541,36931.0
exp1_512h,512,2018-01-09,3,31519.0,31786.857,36735.0
exp1_512h,512,2018-01-09,4,31773.0,32263.184,36815.0
exp1_512h,512,2018-01-09,5,32658.0,33285.945,37520.0
exp1_512h,512,2018-01-09,6,34755.0,35355.285,39490.0
exp1_512h,512,2018-01-09,7,37838.0,37978.12,42657.0
exp1_512h,512,2018-01-09,8,39453.0,39961.703,44098.0
exp1_512h,512,2018-01-09,9,39082.0,40510.797,43482.0
exp1_512h,512,2018-01-09,10,37433.0,40179.58,42715.0
exp1_512h,512,2018-01-09,11,36088.0,39744.47,41781.0
exp1_512h,512,2018-01-09,12,35048.0,39171.715,41002.0
exp1_512h,512,2018-01-09,13,34261.0,38452.04,40429.0
exp1_512h,512,2018-01-09,14,33700.0,37886.57,40210.0
exp1_512h,512,2018-01-09,15,33336.0,37801.246,40200.0
exp1_512h,512,2018-01-09,16,33653.0,38211.824,40385.0
exp1_512h,512,2018-01-09,17,35024.0,40085.67,41525.0
exp1_512h,512,2018-01-09,18,37868.0,42300.055,43487.0
exp1_512h,512,2018-01-09,19,38506.0,42977.586,43078.0
exp1_512h,512,2018-01-09,20,38422.0,42799.1,42112.0
exp1_512h,512,2018-01-09,21,37926.0,41944.695,40797.0
exp1_512h,512,2018-01-09,22,36713.0,40480.312,38819.0
exp1_512h,512,2018-01-09,23,34699.0,38505.43,36287.0
exp1_512h,512,2018-01-10,0,32948.0,32920.453,34077.0
exp1_512h,512,2018-01-10,1,31748.0,31701.703,32542.0
exp1_512h,512,2018-01-10,2,31277.0,31048.379,31723.0
exp1_512h,512,2018-01-10,3,31229.0,30973.574,31519.0
exp1_512h,512,2018-01-10,4,31481.0,31070.53,31773.0
exp1_512h,512,2018-01-10,5,32374.0,31755.414,32658.0
exp1_512h,512,2018-01-10,6,34680.0,33759.383,34755.0
exp1_512h,512,2018-01-10,7,38257.0,36433.992,37838.0
exp1_512h,512,2018-01-10,8,39887.0,38052.93,39453.0
exp1_512h,512,2018-01-10,9,39115.0,38129.4,39082.0
exp1_512h,512,2018-01-10,10,37469.0,37259.438,37433.0
exp1_512h,512,2018-01-10,11,36121.0,36502.21,36088.0
exp1_512h,512,2018-01-10,12,35186.0,35382.555,35048.0
exp1_512h,512,2018-01-10,13,34554.0,34620.35,34261.0
exp1_512h,512,2018-01-10,14,34346.0,34016.188,33700.0
exp1_512h,512,2018-01-10,15,34436.0,33829.906,33336.0
exp1_512h,512,2018-01-10,16,34871.0,34406.12,33653.0
exp1_512h,512,2018-01-10,17,36115.0,36266.746,35024.0
exp1_512h,512,2018-01-10,18,38266.0,38913.863,37868.0
exp1_512h,512,2018-01-10,19,38330.0,39864.34,38506.0
exp1_512h,512,2018-01-10,20,37819.0,39741.406,38422.0
exp1_512h,512,2018-01-10,21,36877.0,39151.87,37926.0
exp1_512h,512,2018-01-10,22,35196.0,37844.65,36713.0
exp1_512h,512,2018-01-10,23,32791.0,36216.25,34699.0
exp1_512h,512,2018-01-11,0,30501.0,30924.527,32948.0
exp1_512h,512,2018-01-11,1,29017.0,29810.385,31748.0
exp1_512h,512,2018-01-11,2,28187.0,29216.25,31277.0
exp1_512h,512,2018-01-11,3,27795.0,29221.443,31229.0
exp1_512h,512,2018-01-11,4,27793.0,29411.887,31481.0
exp1_512h,512,2018-01-11,5,28512.0,30073.383,32374.0
exp1_512h,512,2018-01-11,6,30470.0,32025.254,34680.0
exp1_512h,512,2018-01-11,7,33645.0,34461.02,38257.0
exp1_512h,512,2018-01-11,8,35235.0,36192.574,39887.0
exp1_512h,512,2018-01-11,9,34868.0,36227.715,39115.0
exp1_512h,512,2018-01-11,10,34204.0,35740.418,37469.0
exp1_512h,512,2018-01-11,11,33362.0,35342.16,36121.0
exp1_512h,512,2018-01-11,12,32728.0,34540.78,35186.0
exp1_512h,512,2018-01-11,13,31971.0,34036.773,34554.0
exp1_512h,512,2018-01-11,14,31512.0,33541.137,34346.0
exp1_512h,512,2018-01-11,15,31207.0,33516.29,34436.0
exp1_512h,512,2018-01-11,16,31242.0,34064.32,34871.0
exp1_512h,512,2018-01-11,17,32224.0,35933.805,36115.0
exp1_512h,512,2018-01-11,18,34429.0,38504.23,38266.0
exp1_512h,512,2018-01-11,19,34537.0,39296.984,38330.0
exp1_512h,512,2018-01-11,20,34045.0,39076.797,37819.0
exp1_512h,512,2018-01-11,21,33204.0,38428.805,36877.0
exp1_512h,512,2018-01-11,22,31601.0,37190.035,35196.0
exp1_512h,512,2018-01-11,23,29356.0,35691.04,32791.0
exp1_512h,512,2018-01-12,0,27256.0,27608.64,30501.0
exp1_512h,512,2018-01-12,1,25663.0,26174.0,29017.0
exp1_512h,512,2018-01-12,2,24661.0,25301.95,28187.0
exp1_512h,512,2018-01-12,3,24174.0,25315.037,27795.0
exp1_512h,512,2018-01-12,4,24094.0,25614.568,27793.0
exp1_512h,512,2018-01-12,5,24465.0,26476.79,28512.0
exp1_512h,512,2018-01-12,6,26088.0,28434.871,30470.0
exp1_512h,512,2018-01-12,7,29162.0,30663.443,33645.0
exp1_512h,512,2018-01-12,8,31037.0,32450.21,35235.0
exp1_512h,512,2018-01-12,9,31251.0,32833.93,34868.0
exp1_512h,512,2018-01-12,10,31396.0,32623.934,34204.0
exp1_512h,512,2018-01-12,11,31684.0,32322.379,33362.0
exp1_512h,512,2018-01-12,12,31657.0,31819.504,32728.0
exp1_512h,512,2018-01-12,13,31388.0,31108.14,31971.0
exp1_512h,512,2018-01-12,14,31114.0,30520.451,31512.0
exp1_512h,512,2018-01-12,15,30765.0,30500.852,31207.0
exp1_512h,512,2018-01-12,16,30563.0,30855.68,31242.0
exp1_512h,512,2018-01-12,17,31364.0,32274.76,32224.0
exp1_512h,512,2018-01-12,18,32599.0,34464.547,34429.0
exp1_512h,512,2018-01-12,19,32187.0,35140.0,34537.0
exp1_512h,512,2018-01-12,20,31384.0,34960.44,34045.0
exp1_512h,512,2018-01-12,21,30396.0,34483.67,33204.0
exp1_512h,512,2018-01-12,22,29162.0,33251.72,31601.0
exp1_512h,512,2018-01-12,23,27555.0,31811.805,29356.0
exp1_512h,512,2018-01-13,0,25757.0,26192.832,27256.0
exp1_512h,512,2018-01-13,1,24287.0,24805.719,25663.0
exp1_512h,512,2018-01-13,2,23486.0,23963.373,24661.0
exp1_512h,512,2018-01-13,3,23011.0,23856.477,24174.0
exp1_512h,512,2018-01-13,4,22909.0,23974.18,24094.0
exp1_512h,512,2018-01-13,5,23219.0,24545.32,24465.0
exp1_512h,512,2018-01-13,6,24194.0,26354.586,26088.0
exp1_512h,512,2018-01-13,7,25983.0,28672.727,29162.0
exp1_512h,512,2018-01-13,8,28120.0,30657.766,31037.0
exp1_512h,512,2018-01-13,9,30236.0,31506.684,31251.0
exp1_512h,512,2018-01-13,10,31832.0,31591.188,31396.0
exp1_512h,512,2018-01-13,11,32378.0,31509.373,31684.0
exp1_512h,512,2018-01-13,12,32213.0,31336.73,31657.0
exp1_512h,512,2018-01-13,13,31797.0,30885.27,31388.0
exp1_512h,512,2018-01-13,14,31539.0,30431.639,31114.0
exp1_512h,512,2018-01-13,15,31612.0,30376.242,30765.0
exp1_512h,512,2018-01-13,16,32436.0,30813.979,30563.0
exp1_512h,512,2018-01-13,17,34347.0,32009.0,31364.0
exp1_512h,512,2018-01-13,18,36839.0,33794.344,32599.0
exp1_512h,512,2018-01-13,19,37773.0,34320.96,32187.0
exp1_512h,512,2018-01-13,20,37651.0,33926.984,31384.0
exp1_512h,512,2018-01-13,21,37814.0,33359.195,30396.0
exp1_512h,512,2018-01-13,22,37173.0,32163.79,29162.0
exp1_512h,512,2018-01-13,23,36178.0,30561.316,27555.0
exp1_512h,512,2018-01-14,0,34999.0,34802.156,25757.0
exp1_512h,512,2018-01-14,1,34052.0,33821.242,24287.0
exp1_512h,512,2018-01-14,2,33677.0,33018.51,23486.0
exp1_512h,512,2018-01-14,3,33514.0,32672.316,23011.0
exp1_512h,512,2018-01-14,4,33779.0,32590.162,22909.0
exp1_512h,512,2018-01-14,5,34261.0,32942.742,23219.0
exp1_512h,512,2018-01-14,6,35154.0,34539.03,24194.0
exp1_512h,512,2018-01-14,7,36506.0,36595.703,25983.0
exp1_512h,512,2018-01-14,8,37509.0,38212.875,28120.0
exp1_512h,512,2018-01-14,9,38157.0,38766.86,30236.0
exp1_512h,512,2018-01-14,10,37769.0,38674.78,31832.0
exp1_512h,512,2018-01-14,11,37041.0,38385.71,32378.0
exp1_512h,512,2018-01-14,12,36218.0,38153.23,32213.0
exp1_512h,512,2018-01-14,13,35524.0,38082.406,31797.0
exp1_512h,512,2018-01-14,14,34919.0,37931.39,31539.0
exp1_512h,512,2018-01-14,15,34772.0,37700.5,31612.0
exp1_512h,512,2018-01-14,16,35327.0,38271.61,32436.0
exp1_512h,512,2018-01-14,17,37183.0,39643.5,34347.0
exp1_512h,512,2018-01-14,18,40314.0,41647.51,36839.0
exp1_512h,512,2018-01-14,19,41045.0,42436.71,37773.0
exp1_512h,512,2018-01-14,20,40864.0,42153.85,37651.0
exp1_512h,512,2018-01-14,21,40534.0,41479.57,37814.0
exp1_512h,512,2018-01-14,22,39634.0,40302.07,37173.0
exp1_512h,512,2018-01-14,23,38126.0,38591.97,36178.0
exp1_512h,512,2018-01-15,0,36672.0,36593.07,34999.0
exp1_512h,512,2018-01-15,1,35725.0,35610.508,34052.0
exp1_512h,512,2018-01-15,2,35288.0,34978.145,33677.0
exp1_512h,512,2018-01-15,3,35242.0,34791.418,33514.0
exp1_512h,512,2018-01-15,4,35464.0,34950.39,33779.0
exp1_512h,512,2018-01-15,5,36286.0,35595.086,34261.0
exp1_512h,512,2018-01-15,6,38086.0,37314.117,35154.0
exp1_512h,512,2018-01-15,7,40321.0,39487.9,36506.0
exp1_512h,512,2018-01-15,8,41806.0,41211.965,37509.0
exp1_512h,512,2018-01-15,9,42175.0,41383.938,38157.0
exp1_512h,512,2018-01-15,10,42039.0,40663.082,37769.0
exp1_512h,512,2018-01-15,11,41519.0,39885.906,37041.0
exp1_512h,512,2018-01-15,12,40997.0,39211.625,36218.0
exp1_512h,512,2018-01-15,13,40388.0,38796.195,35524.0
exp1_512h,512,2018-01-15,14,39833.0,38396.414,34919.0
exp1_512h,512,2018-01-15,15,39223.0,38051.914,34772.0
exp1_512h,512,2018-01-15,16,39197.0,38403.484,35327.0
exp1_512h,512,2018-01-15,17,40239.0,39858.594,37183.0
exp1_512h,512,2018-01-15,18,42219.0,41734.11,40314.0
exp1_512h,512,2018-01-15,19,42249.0,42318.22,41045.0
exp1_512h,512,2018-01-15,20,41567.0,41953.203,40864.0
exp1_512h,512,2018-01-15,21,40555.0,41178.754,40534.0
exp1_512h,512,2018-01-15,22,38773.0,39640.406,39634.0
exp1_512h,512,2018-01-15,23,36323.0,37752.695,38126.0
exp1_512h,512,2018-01-16,0,34227.0,34352.4,36672.0
exp1_512h,512,2018-01-16,1,32737.0,33051.32,35725.0
exp1_512h,512,2018-01-16,2,32110.0,32171.8,35288.0
exp1_512h,512,2018-01-16,3,31779.0,32051.668,35242.0
exp1_512h,512,2018-01-16,4,31885.0,32537.879,35464.0
exp1_512h,512,2018-01-16,5,32736.0,33260.805,36286.0
exp1_512h,512,2018-01-16,6,34782.0,35224.234,38086.0
exp1_512h,512,2018-01-16,7,38028.0,37650.203,40321.0
exp1_512h,512,2018-01-16,8,39711.0,39344.074,41806.0
exp1_512h,512,2018-01-16,9,39529.0,39661.36,42175.0
exp1_512h,512,2018-01-16,10,38906.0,39013.64,42039.0
exp1_512h,512,2018-01-16,11,37992.0,38168.75,41519.0
exp1_512h,512,2018-01-16,12,37006.0,37655.598,40997.0
exp1_512h,512,2018-01-16,13,36087.0,37015.92,40388.0
exp1_512h,512,2018-01-16,14,35621.0,36536.766,39833.0
exp1_512h,512,2018-01-16,15,35476.0,36225.234,39223.0
exp1_512h,512,2018-01-16,16,35734.0,36584.812,39197.0
exp1_512h,512,2018-01-16,17,36946.0,38161.656,40239.0
exp1_512h,512,2018-01-16,18,39275.0,40247.68,42219.0
exp1_512h,512,2018-01-16,19,39543.0,40735.426,42249.0
exp1_512h,512,2018-01-16,20,39073.0,40415.21,41567.0
exp1_512h,512,2018-01-16,21,38197.0,39773.9,40555.0
exp1_512h,512,2018-01-16,22,36476.0,38169.664,38773.0
exp1_512h,512,2018-01-16,23,34184.0,36098.605,36323.0
exp1_512h,512,2018-01-17,0,32107.0,32381.434,34227.0
exp1_512h,512,2018-01-17,1,30673.0,31097.555,32737.0
exp1_512h,512,2018-01-17,2,30038.0,30358.441,32110.0
exp1_512h,512,2018-01-17,3,29809.0,30270.52,31779.0
exp1_512h,512,2018-01-17,4,29997.0,30728.48,31885.0
exp1_512h,512,2018-01-17,5,31001.0,31720.871,32736.0
exp1_512h,512,2018-01-17,6,33156.0,33877.453,34782.0
exp1_512h,512,2018-01-17,7,36292.0,36861.906,38028.0
exp1_512h,512,2018-01-17,8,38367.0,38843.324,39711.0
exp1_512h,512,2018-01-17,9,39041.0,39209.598,39529.0
exp1_512h,512,2018-01-17,10,39466.0,38521.74,38906.0
exp1_512h,512,2018-01-17,11,39774.0,37757.04,37992.0
exp1_512h,512,2018-01-17,12,39834.0,37321.348,37006.0
exp1_512h,512,2018-01-17,13,39630.0,36935.277,36087.0
exp1_512h,512,2018-01-17,14,39457.0,36601.773,35621.0
exp1_512h,512,2018-01-17,15,39297.0,36475.51,35476.0
exp1_512h,512,2018-01-17,16,39514.0,36877.75,35734.0
exp1_512h,512,2018-01-17,17,40527.0,38522.164,36946.0
exp1_512h,512,2018-01-17,18,42926.0,40707.48,39275.0
exp1_512h,512,2018-01-17,19,43373.0,41193.63,39543.0
exp1_512h,512,2018-01-17,20,43004.0,40974.78,39073.0
exp1_512h,512,2018-01-17,21,42200.0,40392.8,38197.0
exp1_512h,512,2018-01-17,22,40717.0,38877.24,36476.0
exp1_512h,512,2018-01-17,23,38629.0,36749.656,34184.0
exp1_512h,512,2018-01-18,0,36813.0,36607.297,32107.0
exp1_512h,512,2018-01-18,1,35767.0,35324.258,30673.0
exp1_512h,512,2018-01-18,2,35391.0,34444.047,30038.0
exp1_512h,512,2018-01-18,3,35352.0,33995.1,29809.0
exp1_512h,512,2018-01-18,4,35752.0,33875.355,29997.0
exp1_512h,512,2018-01-18,5,36565.0,34414.875,31001.0
exp1_512h,512,2018-01-18,6,38726.0,36035.703,33156.0
exp1_512h,512,2018-01-18,7,42087.0,38636.094,36292.0
exp1_512h,512,2018-01-18,8,43679.0,40151.418,38367.0
exp1_512h,512,2018-01-18,9,42726.0,40151.656,39041.0
exp1_512h,512,2018-01-18,10,41061.0,39394.227,39466.0
exp1_512h,512,2018-01-18,11,39603.0,38505.78,39774.0
exp1_512h,512,2018-01-18,12,38375.0,37898.934,39834.0
